id,addition,apartment_number,city,country,lat,lon,post_code,street,average_delivery_time,delivery_cost,minimum_order_value,name,owner_id,phone,rating,thumbnail_image_id,full_image_id
45,Crossing,,Hengelo,NL,23.131797,113.407143,,34 Prentice Hill,36,0.7,10,Lajo,00u262s3jn87lHv5b5d7,+86 (159) 871-7032,3.4,,
46,Center,,Hengelo,NL,-6.2671905,107.1010641,,65423 Caliangt Center,21,2.3,4,Kanoodle,00u262s3jn87lHv5b5d7,+62 (247) 741-4422,2.0,,
47,Road,,Hengelo,NL,35.6759137,10.0919243,,98744 Sunnyside Way,32,1.3,7,Midel,00u262s3jn87lHv5b5d7,+216 (884) 381-4545,4.0,,
48,Street,,Hengelo,NL,-7.9199459,113.8138552,,84 Colorado Point,20,2.1,5,Devpoint,00u262s3jn87lHv5b5d7,+62 (725) 726-9681,4.1,,
49,Parkway,,Hengelo,NL,-23.6233032,-45.4141993,11660-000,45046 Huxley Court,21,1.5,4,Kimia,00u262s3jn87lHv5b5d7,+55 (544) 257-0273,3.1,,
50,Parkway,,Hengelo,NL,26.830199,116.844405,,5419 Morrow Trail,40,0.0,4,Brainlounge,00u262s3jn87lHv5b5d7,+86 (697) 584-6524,1.5,,
51,Street,,Hengelo,NL,39.2494876,-9.1668376,2540-702,8956 Everett Pass,38,2.0,3,Realmix,00u262s3jn87lHv5b5d7,+351 (500) 334-8398,5.0,,
52,Lane,,Hengelo,NL,-8.6519695,116.4813482,,12958 Farmco Way,29,0.3,10,Skyba,00u262s3jn87lHv5b5d7,+62 (299) 683-9932,4.5,,
53,Hill,,Hengelo,NL,36.628305,101.765843,,2286 Iowa Center,44,2.6,1,Photobean,00u262s3jn87lHv5b5d7,+86 (443) 391-2116,1.4,,
54,Parkway,,Hengelo,NL,-14.0648657,-42.4858867,46400-000,1227 Morning Alley,18,1.2,4,Wikizz,00u262s3jn87lHv5b5d7,+55 (362) 571-7305,4.2,,
55,Trail,,Hengelo,NL,39.77937,76.630955,,412 Roxbury Road,21,2.1,8,Twitterworks,00u262s3jn87lHv5b5d7,+86 (358) 710-2684,2.0,,
56,Plaza,,Hengelo,NL,38.371268,114.393598,,13 Hoffman Junction,18,3.2,2,Photolist,00u262s3jn87lHv5b5d7,+86 (347) 661-1706,3.0,,
57,Center,,Hengelo,NL,55.5700317,37.9617087,172711,829 Texas Drive,18,2.1,4,Demimbu,00u262s3jn87lHv5b5d7,+7 (276) 261-7581,2.7,,
58,Street,,Hengelo,NL,50.334011,3.460955,59309 CEDEX,6412 Ronald Regan Point,17,2.3,3,Gevee,00u262s3jn87lHv5b5d7,+33 (413) 681-8514,2.7,,
59,Park,,Hengelo,NL,-25.4372113,-55.093449,,2 Bartillon Center,44,1.3,3,Skipfire,00u262s3jn87lHv5b5d7,+595 (817) 112-8394,1.3,,
60,Point,,Hengelo,NL,24.134518,111.485304,,016 Acker Way,28,0.2,0,Thoughtstorm,00u262s3jn87lHv5b5d7,+86 (964) 367-0437,3.2,,
61,Street,,Hengelo,NL,41.0828115,-8.0325948,4690-588,6 Myrtle Point,32,3.3,11,Linkbuzz,00u262s3jn87lHv5b5d7,+351 (360) 238-5980,3.4,,
62,Hill,,Hengelo,NL,33.2192688,112.5282043,,93 Namekagon Road,38,1.9,3,Kimia,00u262s3jn87lHv5b5d7,+86 (572) 733-2611,3.4,,
63,Circle,,Hengelo,NL,57.7662174,16.5983762,593 62,0367 Eagle Crest Pass,23,1.9,6,Jayo,00u262s3jn87lHv5b5d7,+46 (859) 872-5163,3.0,,
64,Center,,Hengelo,NL,6.1747517,-75.5160235,055428,795 Stephen Center,22,2.1,11,Realcube,00u262s3jn87lHv5b5d7,+57 (900) 802-5221,4.9,,
65,Lane,,Hengelo,NL,52.9434371,20.5544716,06-461,7 Bunting Avenue,35,1.5,7,Trilith,00u262s3jn87lHv5b5d7,+48 (489) 645-0906,1.7,,
66,Court,,Hengelo,NL,24.479833,118.089425,,71666 Express Circle,42,0.3,10,Brightdog,00u262s3jn87lHv5b5d7,+86 (223) 514-8857,1.1,,
67,Center,,Hengelo,NL,51.06681,15.37221,59-830,0 Monica Pass,34,2.2,1,Blogpad,00u262s3jn87lHv5b5d7,+48 (888) 734-0288,3.9,,
68,Road,,Hengelo,NL,46.4722761,-64.7242645,E4S,72 Larry Street,35,0.5,1,Agimba,00u262s3jn87lHv5b5d7,+1 (250) 304-2534,1.7,,
69,Pass,,Hengelo,NL,-7.5450262,111.6556388,,4695 Merry Place,15,0.2,6,Zoomdog,00u262s3jn87lHv5b5d7,+62 (156) 784-8808,2.8,,
70,Junction,,Hengelo,NL,-20.1364103,57.6679912,,89 Heath Road,27,0.2,1,Oyoba,00u262s3jn87lHv5b5d7,+230 (425) 223-6814,1.3,,
71,Point,,Hengelo,NL,14.6103278,121.0080574,6217,53726 Autumn Leaf Junction,27,2.6,1,Realpoint,00u262s3jn87lHv5b5d7,+63 (300) 404-2213,3.2,,
72,Circle,,Hengelo,NL,-23.4554707,-52.0423373,87140-000,59 Pawling Way,37,3.1,1,Devify,00u262s3jn87lHv5b5d7,+55 (768) 986-3552,2.6,,
73,Plaza,,Hengelo,NL,33.011529,114.022298,,67 Karstens Park,23,0.0,10,Skidoo,00u262s3jn87lHv5b5d7,+86 (139) 462-0763,1.9,,
74,Circle,,Hengelo,NL,-18.8200534,49.0652963,,680 Towne Alley,35,2.9,3,Rhyzio,00u262s3jn87lHv5b5d7,+261 (626) 199-6585,1.7,,
75,Center,,Hengelo,NL,40.5077508,-7.9582238,3430-505,31 Petterle Terrace,42,1.4,9,Fivebridge,00u262s3jn87lHv5b5d7,+351 (403) 212-9243,3.1,,
76,Road,,Hengelo,NL,12.16219,-68.2713254,,1 Clove Street,34,2.9,5,Topicblab,00u262s3jn87lHv5b5d7,+599 (615) 281-4133,4.9,,
77,Center,,Hengelo,NL,34.749864,106.137293,,8 Eggendart Pass,34,2.7,1,Yata,00u262s3jn87lHv5b5d7,+86 (233) 140-6748,4.2,,
78,Way,,Hengelo,NL,9.600306,124.105576,6304,63682 Mosinee Circle,35,3.3,1,Yombu,00u262s3jn87lHv5b5d7,+63 (782) 186-6114,2.8,,
79,Street,,Hengelo,NL,45.3727904,40.829856,352177,641 Bashford Pass,26,1.4,5,Yadel,00u262s3jn87lHv5b5d7,+7 (551) 979-1805,2.9,,
80,Crossing,,Hengelo,NL,35.919651,103.845271,,80430 Sycamore Park,35,2.9,6,Realfire,00u262s3jn87lHv5b5d7,+86 (576) 427-5976,4.3,,
81,Trail,,Hengelo,NL,10.1189877,123.5713405,1637,17 Elgar Pass,24,0.6,12,Rhynyx,00u262s3jn87lHv5b5d7,+63 (866) 206-1943,4.8,,
82,Trail,,Hengelo,NL,19.6402143,-99.0654022,51247,77770 Stoughton Pass,22,2.4,5,Gabspot,00u262s3jn87lHv5b5d7,+52 (517) 340-3170,4.0,,
83,Pass,,Hengelo,NL,19.4468231,-99.1303962,73795,933 Bashford Terrace,26,2.6,0,Pixope,00u262s3jn87lHv5b5d7,+52 (380) 721-8853,4.2,,
84,Alley,,Hengelo,NL,41.8977003,12.5097274,00185,7 Esch Alley,45,2.0,2,Innojam,00u262s3jn87lHv5b5d7,+39 (137) 431-9225,1.9,,
85,Lane,,Hengelo,NL,50.6227649,27.1614453,,83382 Shopko Plaza,20,2.0,12,Tagfeed,00u262s3jn87lHv5b5d7,+380 (413) 439-2294,1.8,,
86,Alley,,Hengelo,NL,-8.113,113.8437,,8 Kingsford Trail,45,2.4,5,Topicblab,00u262s3jn87lHv5b5d7,+62 (842) 679-7383,2.5,,
87,Junction,,Hengelo,NL,53.2771781,-109.9850454,S9V,8 Riverside Trail,30,1.9,12,Zooveo,00u262s3jn87lHv5b5d7,+1 (339) 274-6218,1.9,,
88,Hill,,Hengelo,NL,53.695696,54.276083,452040,96156 West Road,16,2.7,3,Yabox,00u262s3jn87lHv5b5d7,+7 (159) 519-1070,3.6,,
89,Street,,Hengelo,NL,49.5595208,19.0310166,34-383,37878 Westport Way,33,2.9,8,Abata,00u262s3jn87lHv5b5d7,+48 (771) 974-4885,4.0,,
90,Terrace,,Hengelo,NL,36.200252,117.087614,,7506 Butternut Center,38,1.7,1,Skivee,00u262s3jn87lHv5b5d7,+86 (137) 852-0296,1.5,,
91,Pass,,Hengelo,NL,-8.1879,111.4182,,199 Crownhardt Point,21,2.3,0,Jabbersphere,00u262s3jn87lHv5b5d7,+62 (650) 129-4183,5.0,,
92,Hill,,Hengelo,NL,32.728228,116.943665,,7651 Delaware Avenue,29,1.7,2,Quaxo,00u262s3jn87lHv5b5d7,+86 (748) 871-7030,3.5,,
93,Hill,,Hengelo,NL,3.0100681,101.5326734,40990,2 Summit Parkway,21,0.6,8,Feedspan,00u262s3jn87lHv5b5d7,+60 (679) 378-3390,4.0,,
94,Street,,Hengelo,NL,19.266226,109.792761,,53495 Eastlawn Park,35,1.9,9,Feedmix,00u262s3jn87lHv5b5d7,+86 (881) 890-7292,4.8,,
95,Way,,Hengelo,NL,39.8843177,-8.1035981,6100-218,3 Melody Plaza,18,3.3,3,Janyx,00u262s3jn87lHv5b5d7,+351 (255) 709-2587,1.1,,
96,Avenue,,Hengelo,NL,41.1823974,20.15515,,4 Mariners Cove Center,42,2.3,5,Feedmix,00u262s3jn87lHv5b5d7,+355 (427) 209-8555,3.4,,
97,Court,,Hengelo,NL,-1.9,115.3,,3 Waubesa Crossing,35,1.1,4,Wordtune,00u262s3jn87lHv5b5d7,+62 (369) 948-4024,3.1,,
98,Center,,Hengelo,NL,-37.8136276,144.9630576,8383,0 Forster Lane,41,0.5,9,Chatterpoint,00u262s3jn87lHv5b5d7,+61 (438) 877-1490,1.1,,
99,Circle,,Hengelo,NL,-18.4476442,-50.4551598,75860-000,184 Oakridge Drive,29,3.1,2,Voolith,00u262s3jn87lHv5b5d7,+55 (915) 415-0486,1.9,,
100,Pass,,Hengelo,NL,16.5303424,-90.1894032,12008,8171 Delaware Alley,23,2.9,1,Mudo,00u262s3jn87lHv5b5d7,+502 (814) 942-4161,3.5,,
101,Court,,Hengelo,NL,36.46667,81.96667,,7 Nobel Park,27,3.1,5,BlogXS,00u262s3jn87lHv5b5d7,+86 (256) 148-5606,3.9,,
102,Alley,,Hengelo,NL,51.8417492,5.8715134,6509,239 Oneill Parkway,26,1.6,7,Kwinu,00u262s3jn87lHv5b5d7,+31 (525) 192-7042,2.4,,
103,Crossing,,Hengelo,NL,54.194145,37.6912329,629733,550 Waubesa Trail,27,0.9,3,Kazio,00u262s3jn87lHv5b5d7,+7 (178) 567-5318,1.2,,
104,Circle,,Hengelo,NL,-8.2192422,112.3665609,,2 Nobel Drive,40,0.8,9,JumpXS,00u262s3jn87lHv5b5d7,+62 (103) 696-1768,3.9,,
105,Circle,,Hengelo,NL,43.4426097,-80.5443489,N2L,715 Clyde Gallagher Center,25,0.9,6,Zazio,00u262s3jn87lHv5b5d7,+1 (504) 500-1918,1.5,,
106,Terrace,,Hengelo,NL,40.5854429,-8.6170601,3810-833,9423 Porter Terrace,29,1.0,0,Cogilith,00u262s3jn87lHv5b5d7,+351 (258) 166-2815,3.9,,
107,Junction,,Hengelo,NL,7.5273576,125.6239227,8112,086 Jenifer Terrace,30,1.8,1,Mynte,00u262s3jn87lHv5b5d7,+63 (246) 241-3536,4.0,,
108,Street,,Hengelo,NL,16.098935,-88.8094906,,567 Elka Point,39,2.9,8,Zazio,00u262s3jn87lHv5b5d7,+501 (640) 390-4169,4.3,,
109,Point,,Hengelo,NL,-24.0416026,-52.3693218,87300-000,864 Daystar Lane,38,2.3,9,Realcube,00u262s3jn87lHv5b5d7,+55 (973) 116-1080,1.4,,
110,Drive,,Hengelo,NL,59.3213237,14.4764786,700 15,63704 Debra Trail,34,1.4,10,Edgeblab,00u262s3jn87lHv5b5d7,+46 (413) 431-7570,3.1,,
111,Center,,Hengelo,NL,30.9882241,121.1241334,,256 Rigney Court,39,1.6,3,InnoZ,00u262s3jn87lHv5b5d7,+86 (677) 766-4752,1.9,,
112,Pass,,Hengelo,NL,-7.3468093,112.7792692,,251 7th Point,35,2.6,6,Flashspan,00u262s3jn87lHv5b5d7,+62 (580) 849-5329,4.4,,
113,Trail,,Hengelo,NL,46.4200935,14.6917325,3335,7051 Schiller Terrace,30,3.3,5,Vitz,00u262s3jn87lHv5b5d7,+386 (394) 715-7403,3.8,,
114,Court,,Hengelo,NL,28.7401,118.793215,,9 Transport Crossing,34,3.3,8,Yamia,00u262s3jn87lHv5b5d7,+86 (270) 371-3456,4.1,,
115,Circle,,Hengelo,NL,22.826877,107.840624,,478 Twin Pines Lane,31,1.0,7,Yata,00u262s3jn87lHv5b5d7,+86 (771) 359-8975,4.0,,
116,Parkway,,Hengelo,NL,55.7264965,13.3385773,247 25,06768 Rigney Court,21,1.1,9,Dynazzy,00u262s3jn87lHv5b5d7,+46 (182) 349-9141,3.2,,
117,Street,,Hengelo,NL,-38.9548478,-68.1030149,3155,4 Katie Trail,42,2.8,5,Fivespan,00u262s3jn87lHv5b5d7,+54 (640) 475-7575,1.8,,
118,Lane,,Hengelo,NL,50.9532135,28.6457544,,6673 Evergreen Hill,43,1.0,2,Roombo,00u262s3jn87lHv5b5d7,+380 (705) 940-6856,2.9,,
119,Lane,,Hengelo,NL,57.6734511,46.6107277,606912,01 Mallory Center,42,1.8,10,Meedoo,00u262s3jn87lHv5b5d7,+7 (345) 563-4774,4.2,,
120,Way,,Hengelo,NL,34.8383901,137.0770574,818-0138,8 Ramsey Circle,30,1.4,2,Centizu,00u262s3jn87lHv5b5d7,+81 (883) 207-5636,1.4,,
121,Parkway,,Hengelo,NL,59.3796798,28.1791333,,51 Paget Parkway,23,0.0,0,Linklinks,00u262s3jn87lHv5b5d7,+372 (893) 728-0166,3.4,,
122,Way,,Hengelo,NL,43.4945737,5.8978018,75567 CEDEX 12,4 Lerdahl Way,24,1.2,6,Devpulse,00u262s3jn87lHv5b5d7,+33 (248) 235-9010,2.6,,
123,Pass,,Hengelo,NL,41.6919638,-86.3754398,46620,0 Northfield Parkway,16,3.0,4,Jazzy,00u262s3jn87lHv5b5d7,+1 (574) 236-4788,4.2,,
124,Center,,Hengelo,NL,-8.4318,114.86,,89 Warner Parkway,25,1.1,6,Quatz,00u262s3jn87lHv5b5d7,+62 (330) 476-4121,1.5,,
125,Terrace,,Hengelo,NL,15.2784628,-87.5847613,,1 Carpenter Center,19,2.2,11,Skyba,00u262s3jn87lHv5b5d7,+504 (382) 562-4039,4.1,,
126,Hill,,Hengelo,NL,20.7595709,-103.427389,38800,367 Lawn Hill,19,2.7,12,Edgeify,00u262s3jn87lHv5b5d7,+52 (984) 440-9267,4.4,,
127,Lane,,Hengelo,NL,11.5294306,122.0953896,1659,7806 Hovde Trail,44,0.8,3,Jaxspan,00u262s3jn87lHv5b5d7,+63 (292) 702-7882,2.1,,
128,Parkway,,Hengelo,NL,12.8964041,8.5281613,,61 Goodland Street,29,2.6,3,Skyble,00u262s3jn87lHv5b5d7,+234 (466) 879-6456,2.2,,
129,Lane,,Hengelo,NL,22.791223,110.454459,,2065 Utah Circle,43,2.9,5,Twitterbeat,00u262s3jn87lHv5b5d7,+86 (132) 254-6234,1.7,,
130,Alley,,Hengelo,NL,62.3316244,27.7461577,78900,38412 East Junction,25,0.5,0,Eabox,00u262s3jn87lHv5b5d7,+358 (917) 477-7903,1.3,,
131,Hill,,Hengelo,NL,47.3591366,2.8002946,45957 CEDEX 9,9208 Vermont Hill,45,1.2,8,Meemm,00u262s3jn87lHv5b5d7,+33 (985) 833-1510,2.6,,
132,Court,,Hengelo,NL,-4.1393386,39.3180297,,435 Meadow Valley Pass,20,0.3,10,Pixope,00u262s3jn87lHv5b5d7,+254 (186) 350-6777,4.8,,
133,Place,,Hengelo,NL,53.98492,38.03593,403567,206 Carberry Center,22,2.2,3,Bubbletube,00u262s3jn87lHv5b5d7,+7 (380) 804-9210,4.2,,
134,Pass,,Hengelo,NL,40.6300635,-8.581189,3800-766,7810 Muir Pass,15,0.0,8,Plajo,00u262s3jn87lHv5b5d7,+351 (998) 220-6292,3.4,,
135,Hill,,Hengelo,NL,35.3756077,-94.4313928,72905,07 Myrtle Road,26,1.4,9,Eire,00u262s3jn87lHv5b5d7,+1 (479) 314-3968,4.1,,
136,Junction,,Hengelo,NL,51.5136143,-0.1365486,W1F,72204 Hermina Avenue,27,1.8,1,Dynabox,00u262s3jn87lHv5b5d7,+44 (451) 100-3546,3.7,,
137,Parkway,,Hengelo,NL,50.7249071,30.9358078,,5 Caliangt Court,24,0.2,2,Trunyx,00u262s3jn87lHv5b5d7,+380 (337) 825-5020,3.2,,
138,Avenue,,Hengelo,NL,47.5173564,42.1602043,347395,90 Stuart Place,27,0.4,0,Edgeclub,00u262s3jn87lHv5b5d7,+7 (285) 982-8777,1.6,,
139,Alley,,Hengelo,NL,41.5024723,-8.3487249,4650-226,72 Bunting Street,28,1.7,1,Cogilith,00u262s3jn87lHv5b5d7,+351 (666) 440-7832,3.7,,
140,Crossing,,Hengelo,NL,50.051293,19.372452,32-503,7 Bartelt Pass,16,3.1,4,Topicblab,00u262s3jn87lHv5b5d7,+48 (785) 720-4442,2.2,,
141,Junction,,Hengelo,NL,23.284628,116.268675,,881 Bartelt Way,38,0.2,11,Camido,00u262s3jn87lHv5b5d7,+86 (713) 801-5035,4.3,,
142,Road,,Hengelo,NL,-24.5969718,25.9124229,,97 Oriole Point,23,2.8,9,Podcat,00u262s3jn87lHv5b5d7,+267 (394) 596-1201,3.3,,
143,Street,,Hengelo,NL,18.0797857,-77.2692503,,52259 Cody Alley,25,3.2,0,Livepath,00u262s3jn87lHv5b5d7,+1 (450) 116-9965,4.4,,
144,Pass,,Hengelo,NL,-7.2033646,111.6630914,,57163 Bayside Center,18,2.8,9,Chatterpoint,00u262s3jn87lHv5b5d7,+62 (621) 470-2253,1.4,,
145,Avenue,,Hengelo,NL,41.3595963,-8.3726599,4730-300,80 Reinke Court,31,3.5,10,Gigashots,00u262s3jn87lHv5b5d7,+351 (367) 609-7454,4.9,,
146,Hill,,Hengelo,NL,27.318852,115.444319,,3 Hoffman Alley,18,1.0,2,Lazz,00u262s3jn87lHv5b5d7,+86 (890) 172-8833,3.6,,
147,Hill,,Hengelo,NL,34.814591,109.629628,,09 Iowa Point,22,1.7,0,Linktype,00u262s3jn87lHv5b5d7,+86 (938) 790-1943,4.2,,
148,Hill,,Hengelo,NL,45.7608012,15.8843252,10250,3915 Bluestem Center,35,3.2,2,Kaymbo,00u262s3jn87lHv5b5d7,+385 (694) 931-0567,2.7,,
149,Lane,,Hengelo,NL,-6.3235522,106.6948015,,61477 Vermont Crossing,37,2.0,10,Twiyo,00u262s3jn87lHv5b5d7,+62 (800) 930-8219,3.9,,
150,Plaza,,Hengelo,NL,40.417902,122.660538,,28280 Grover Avenue,29,2.6,7,Layo,00u262s3jn87lHv5b5d7,+86 (914) 439-7482,4.4,,
151,Crossing,,Hengelo,NL,-6.6591023,106.2931013,,826 7th Pass,44,2.1,11,Oyondu,00u262s3jn87lHv5b5d7,+62 (916) 639-7865,4.2,,
152,Pass,,Hengelo,NL,55.0449125,67.8812063,641642,00322 Loeprich Center,18,3.4,3,Yakidoo,00u262s3jn87lHv5b5d7,+7 (829) 659-0110,2.7,,
153,Lane,,Hengelo,NL,27.320917,111.458656,,52 Pierstorff Plaza,23,1.2,6,Oloo,00u262s3jn87lHv5b5d7,+86 (575) 326-7967,2.8,,
154,Point,,Hengelo,NL,57.9330635,45.1806143,353029,5 Spenser Hill,34,2.3,5,Blognation,00u262s3jn87lHv5b5d7,+7 (604) 174-5563,1.0,,
